country;iso2_code;iso3_code;school_id_giga;school_name;admin1_id_giga;admin2_id_giga;education_level;connectivity;latitude;longitude;school_data_source
Bosnia and Herzegovina;ba;bih;e6f29be9-8f30-3712-bf7c-e07a2940ca3e;Područna škola Brnjaci;BIH002;BIH002006;Primary;Yes;43.927303314208984;18.103029251098633;
Bosnia and Herzegovina;ba;bih;ac5bb3a3-4ac1-3de4-ba8e-f79aaa17962b;"OŠ ""Ahmed Muradbegović"" Područna škola Bolješevo";BIH002;BIH002004;Primary;Yes;44.13628005981445;17.997177124023438;
Bosnia and Herzegovina;ba;bih;724d88e3-df3e-3c72-88c6-2728184286c8;JU OŠ “Enver Čolaković“ Janjići;BIH002;BIH002004;Primary;Yes;44.15808868408203;17.961572647094727;
Bosnia and Herzegovina;ba;bih;053ff5e9-6c24-337b-be5e-4578f7817c22;JU OŠ “Enver Čolaković“ Janjići;BIH002;BIH002004;Primary;Yes;44.15808868408203;17.961572647094727;
Bosnia and Herzegovina;ba;bih;1072e28c-d3e6-3c3d-ad07-28d804d1eeed;"OŠ ""Ahmed Muradbegović"" Područna škola Rošćevina";BIH002;BIH002004;Primary;No;44.13386917114258;18.07232093811035;
Bosnia and Herzegovina;ba;bih;821fa6bb-4882-3f58-b033-c12d941efea1;"OŠ ""Ahmed Muradbegović";BIH002;BIH002004;Primary;Yes;44.13875198364258;18.07881736755371;
Bosnia and Herzegovina;ba;bih;6e435d4d-ca70-38d9-8020-8cbf116d0268;"OŠ ""Ahmed Muradbegović"" Područna škola Desetnik";BIH002;BIH002004;Primary;No;44.11878586;18.06751823425293;
Bosnia and Herzegovina;ba;bih;1d99bf06-d68c-327f-8fac-17fa969b546c;"OŠ ""Ahmed Muradbegović"" Područna škola Modrinje";BIH002;BIH002004;Primary;No;44.130619049072266;18.018409729003906;
Bosnia and Herzegovina;ba;bih;5bb26ff7-4652-3ead-b9fe-5ae75fee7346;MJEŠOVITA SREDNJA ŠKOLA BUSOVAČA;BIH002;BIH002006;Secondary;Yes;44.09691619873047;17.885345458984375;
Bosnia and Herzegovina;ba;bih;ff0480a9-c541-3d2e-9752-03927e993cf0;Srednja škola Busovača;BIH002;BIH002006;Other;Yes;44.09691619873047;17.885345458984375;
Bosnia and Herzegovina;ba;bih;37b2b480-bbee-3c2e-a3f4-d10f984dfeff;JU OŠ “Enver Čolaković“ Janjići;BIH002;BIH002004;Primary;No;44.12901688;17.942312240600586;
Bosnia and Herzegovina;ba;bih;4088b789-09b3-31fc-978e-79768cfea052;"JU OŠ ""Skender Kulenović"" Zenica";BIH002;BIH002004;Primary;Yes;44.19499206542969;17.932432174682617;
Bosnia and Herzegovina;ba;bih;25975d6b-62b1-31e7-a476-6d1f5da22c25;"PŠ ""Klopče"" Zenica";BIH002;BIH002004;Primary;Yes;44.19499206542969;17.932432174682617;
Bosnia and Herzegovina;ba;bih;8fe16221-e476-3c61-b412-4a6b984ec92c;JU Medicinska škola Zenica;BIH002;BIH002004;Other;Yes;44.20676040649414;17.924240112304688;
Bosnia and Herzegovina;ba;bih;2bea8eb8-a031-3e3b-9494-97f8f197e5f4;"JAVNA USTANOVA OSNOVNA ŠKOLA ""MAK DIZDAR"" ZENICA";BIH002;BIH002004;Primary;Yes;44.20357894897461;17.918996810913086;
Bosnia and Herzegovina;ba;bih;2b9e3c50-0423-315f-a7b3-5b68315ef943;JU OŠ ''HAMZA HUMO'' BABINO;BIH002;BIH002004;Primary;Yes;44.20246124267578;17.92548179626465;
Bosnia and Herzegovina;ba;bih;499a28c0-3087-34c3-a7b4-31176db6070c;"JAVNA USTANOVA OSNOVNA ŠKOLA ""ARNAUTI"" ARNAUTI";BIH002;BIH002004;Primary;Yes;44.19092559814453;18.08138084411621;
Bosnia and Herzegovina;ba;bih;a2d46355-0540-3682-baa7-2709221c2d77;OŠ Kaćuni - PŠ Putiš;BIH002;BIH002006;Primary;Yes;44.145050048828125;17.89434814453125;
Bosnia and Herzegovina;ba;bih;05971ae0-52ad-39c5-abdc-4f20ae1e7749;"JU OŠ ""Miroslav Krleža"" Zenica";BIH002;BIH002004;Primary;Yes;44.194950103759766;17.89105796813965;
Bosnia and Herzegovina;ba;bih;8ddb26a9-4498-3513-85df-8da5482eea56;"JU OŠ ""Miroslav Krleža"" Zenica PŠ Čajdraš";BIH002;BIH002004;Primary;No;44.19113540649414;17.871746063232422;
Bosnia and Herzegovina;ba;bih;938db353-f2bf-3ad5-8c18-9a30a4818a34;ABDULVEHAB ILHAMIJA;BIH002;BIH002004;Primary;Yes;44.186248779296875;17.916519165039062;
Bosnia and Herzegovina;ba;bih;920ef8a2-03ad-3b7f-bc5a-a6b2a12328be;Abdulvehab Ilhamija;BIH002;BIH002004;Primary;Yes;44.186248779296875;17.916519165039062;
Bosnia and Herzegovina;ba;bih;fd84c6b5-d453-3150-a153-329dace1e1a6;Abdulvehab Ilhamija;BIH002;BIH002004;Primary;Yes;44.186248779296875;17.916519165039062;
Bosnia and Herzegovina;ba;bih;54b1981c-1c0b-3151-b605-ed527402dc39;Abdulvehab Ilhamija;BIH002;BIH002004;Primary;Yes;44.186248779296875;17.916521072387695;
Bosnia and Herzegovina;ba;bih;44a3c8a6-cce7-3c23-a8d6-6f0685be1850;Abdulvehab Ilhamija;BIH002;BIH002004;Primary;Yes;44.186248779296875;17.916519165039062;
Bosnia and Herzegovina;ba;bih;57b1de3f-6c67-3c3a-b7c6-4b8e550e28fc;"JU ""rednja škola za stručno obrazovanje i radno osposobljavanje"", Zenica";BIH002;BIH002004;Other;Yes;44.186248779296875;17.916519165039062;
Bosnia and Herzegovina;ba;bih;bdf70d95-0a94-3444-8655-bf5951d563a0;Ekonomska škola Zenica;BIH002;BIH002004;Other;Yes;44.198421478271484;17.909025192260742;
Bosnia and Herzegovina;ba;bih;60e0a491-47f0-3691-b67a-152c9faa19c9;"JAVNA USTANOVA OSNOVNA ŠKOLA ""AHMED MURADBEGOVIĆ"" ZENICA";BIH002;BIH002004;Primary;Yes;44.19430160522461;17.908000946044922;
Bosnia and Herzegovina;ba;bih;a375786b-c7b6-351f-85c0-cab612bc9cf6;"JAVNA USTANOVA OSNOVNA ŠKOLA ""AHMED MURADBEGOVIĆ"" ZENICA";BIH002;BIH002004;Primary;Yes;44.19430160522461;17.908000946044922;
Bosnia and Herzegovina;ba;bih;673e2243-8116-3195-b2bf-db2581fbaf72;"JU Osnovna škola ""Hajderovići, Područna škola ""Rujnica";BIH002;BIH002004;Primary;Yes;44.19430160522461;17.908000946044922;
Bosnia and Herzegovina;ba;bih;a5f50734-16e1-36e5-ba93-5cf53801a992;"JU OŠ ""Aleksa Šantić";BIH002;BIH002004;Primary;Yes;44.19430160522461;17.908000946044922;
Bosnia and Herzegovina;ba;bih;49186297-d834-3b2a-9946-e0ad42c9008b;"JU OŠ ""Aleksa Šantić";BIH002;BIH002004;Primary;Yes;44.19430160522461;17.908000946044922;
Bosnia and Herzegovina;ba;bih;2ebcaf9b-9b8a-310b-8857-ef6efa0020f8;"JU OŠ ""Aleksa Šantić";BIH002;BIH002004;Primary;Yes;44.19430160522461;17.908000946044922;
Bosnia and Herzegovina;ba;bih;45149f29-532f-3ddd-b66a-127b6319f17a;"Javna ustanova Osnovna škola ""Meša Selimović"" Zenica";BIH002;BIH002004;Primary;Yes;44.19666290283203;17.911418914794922;
