radio;mcc;net;area;cell;unit;lon;lat;range;samples;changeable;created;updated;averageSignal
GSM;218;3;40;2555;0;18.7109;43.2951;11433;112;1;1468229679;1722056522;0
GSM;218;3;70;3576;0;18.0905;44.7298;4353;40;1;1491847394;1695999721;0
GSM;218;3;70;1448;0;18.0914;44.5401;3164;50;1;1491828756;1735964882;0
GSM;218;3;30;1147;0;18.3406;45.1323;14255;91;1;1458909695;1722208202;0
GSM;218;3;30;2146;0;19.2991;44.8113;10909;6;1;1458909695;1726935979;0
GSM;218;3;40;1754;0;18.5668;43.7266;4569;103;1;1458909696;1722175086;0
GSM;218;3;30;1146;0;18.3279;45.129;16460;42;1;1458909695;1722208803;0
GSM;218;3;40;1793;0;18.1072;44.0733;2772;28;1;1458909696;1735910764;0
GSM;218;3;40;1755;0;18.506;43.7484;5232;118;1;1458909696;1722163989;0
GSM;218;3;30;2893;0;18.0613;44.8292;13124;45;1;1458909695;1719046382;0
GSM;218;3;30;2243;0;18.3495;45.1205;24173;28;1;1458909695;1722208683;0
GSM;218;3;30;2130;0;18.0191;45.0007;32634;108;1;1458909695;1722205862;0
GSM;218;3;40;2913;0;18.1013;44.045;6707;10;1;1437406543;1722198543;0
GSM;218;3;40;3018;0;18.0935;44.0818;7623;4;1;1437406544;1722484562;0
GSM;218;3;40;2707;0;18.5607;43.7084;17973;39;1;1442219077;1722104584;0
GSM;218;3;40;1539;0;18.1266;44.0407;11848;27;1;1437406543;1735910763;0
GSM;218;3;40;1994;0;18.3714;43.7674;16772;15;1;1458909696;1735910720;0
GSM;218;3;40;2514;0;18.5744;43.7469;3964;158;1;1458909697;1722108663;0
GSM;218;3;40;2908;0;18.5343;43.7504;4939;105;1;1458909697;1722160202;0
GSM;218;3;40;3141;0;18.0658;44.12;9157;26;1;1437406524;1722199023;0
GSM;218;3;40;3604;0;18.0593;44.1207;7440;13;1;1458909697;1696004765;0
GSM;218;3;40;1756;0;18.8342;43.724;20237;84;1;1458909696;1722148262;0
GSM;218;3;40;1984;0;18.5837;43.8478;8454;9;1;1458909696;1722067324;0
